VdW;rho_c = 3.5;T_c = 0.5714285714;;a = 9.0 / 49.0;b = 2.0 / 21.0;R = 1.0;width = 8;200 x 200
Tr;k;A;Spurious Currents (Max);rho_g (Maxwell);rho_g (Actual);rho_l (Maxwell);rho_l (Actual);Error^2
0.3;0.009;-0.27;0.001439769;1.40E-03;0.001390583;9.464574999;9.506284714;0.0017397
0.35;0.009;-0.26;0.000907805;5.91E-03;0.005814299;9.266219465;9.31434536;0.00231611
0.4;0.01;-0.26;0.000663982;0.017188114;1.84E-02;9.057781195;9.109560966;0.002682701
0.45;0.01;-0.25;4.25E-04;3.93E-02;4.19E-02;8.837838688;8.895310402;0.003309722
0.5;0.01;-0.24;2.70E-04;0.076113825;0.081478968;8.604722001;8.66765976;0.003989946
0.55;0.01;-0.23;1.69E-04;0.131530159;0.141823128;8.356422485;8.424690247;0.004766432
0.6;0.01;-0.22;1.04E-04;0.209223388;0.227241635;8.090447852;8.164046288;0.005741387
0.65;0.01;-0.2;6.91E-05;0.31316375;0.338154584;7.80359137;7.881995201;0.006771703
0.7;0.01;-0.18;4.67E-05;0.480780526;0.484336227;7.49154892;7.575089455;0.006991664
0.75;0.02;-0.26;9.81E-05;0.620231522;0.672986329;7.148238315;7.216682911;0.007467732
0.8;0.02;-0.24;5.61E-05;0.838834226;0.900897324;6.7644704;6.837594986;0.009199033
0.85;0.02;-0.22;2.93E-05;1.119054876;1.19584024;6.324991146;6.404196739;0.012169518
0.9;0.02;-0.185;1.26E-05;1.490095732;1.591536403;5.800445742;5.87843895;0.01637315
0.94;0.03;-0.18;7.77E-06;1.898222506;2.003798246;5.273529395;5.319358826;0.013246574
0.95;0.04;-0.18;8.99E-06;2.026552244;2.115571499;5.116045703;5.167541504;0.010576245
0.96;0.045;-0.18;8.46E-06;2.171476229;2.268125772;4.942181619;4.966695786;0.009942079
0.97;0.065;-0.1;7.85E-06;2.339528831;2.413431644;4.74540098;4.778422832;0.006552069
0.98;0.092;-0.01;9.59E-06;2.543419667;2.610087872;4.512992367;4.527784348;0.004663452
0.99;0.2;-0.005;7.96E-06;2.815874073;2.862468004;4.212228631;4.227439404;0.002402362
1;0.05;-0.2;0;3.5;3.500002146;3.5;3.500002146;0
;;;;;;;RMS Error;0.051365862
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
