Time,Menicus Height,Position
0,0,0
1000,5,0
2000,5,7
3000,5,15
4000,5,23
5000,5,31
6000,6,38
7000,6,45
8000,6,51
9000,7,56
10000,6,62
11000,6,67
12000,7,71
13000,7,76
14000,7,80
15000,7,84
16000,7,88
17000,7,92
18000,7,96
19000,7,100
20000,7,103
21000,7,107
22000,7,110
23000,8,113
24000,7,117
25000,7,120
26000,7,123
27000,7,126
28000,7,129
29000,7,132
30000,7,135
31000,7,138
32000,8,140
33000,8,143
34000,7,146
35000,7,149
36000,8,151
37000,7,154
38000,8,156
39000,7,159
40000,8,161
41000,7,164
42000,8,166
43000,7,169
44000,8,171
45000,8,173
46000,7,176
47000,8,178
48000,8,180
49000,7,183
50000,7,185
51000,8,187
52000,8,189
53000,8,191
54000,7,194
55000,7,196
56000,7,198
57000,8,200
58000,8,202
59000,8,204
60000,8,206
