Single GPU Performance,Single Phase Permeability,,Precision,
MLUPS,GPU,Domain Size,Compute/Write,Constraint
281,A5500 (24GB),256 x 256 x 256,f32/f32,
333,A5500 (24GB),256 x 256 x 256,f32/f16,
47,A5500 (24GB),256 x 256 x 256,f64/f64,
49,A5500 (24GB),256 x 256 x 256,f64/f32,
50,A5500 (24GB),256 x 256 x 256,f64/f16,
171,RTX8000 (48GB),416 x 416 x 416,f32/f32,rtx8000
202,RTX8000 (48GB),448 x 448 x 448,f32/f16,rtx8000
30,RTX8000 (48GB),352 x 352 x 352,f64/f64,rtx8000
31,RTX8000 (48GB),384 x 384 x 384,f64/f32,rtx8000
37,RTX8000 (48GB),416 x 416 x 416,f64/f16,rtx8000
485,A100 (40GB),256 x 256 x  256,f32/f32,a100
530,A100 (40GB),256 x 256 x  256,f32/f16,a100
187,A100 (40GB),256 x 256 x  256,f64/f64,a100
274,A100 (40GB),256 x 256 x  256,f64/f32,a100
296,A100 (40GB),256 x 256 x  256,f64/f16,a100
223,V100S (32GB),320 x 320 z 320,f32/f32,v100s
277,V100S (32GB),320 x 320 x 320,f32/f16,v100s
99,V100S (32GB),320 x 320 x 320,f64/f64,v100s
111,V100S (32GB),320 x 320 x 320,f64/f32,v100s
123,V100S (32GB),320 x 320 x 320,f64/f16,v100s
