Capillary Pressure,NW Saturation,W Saturation
0.2985106111,0.9999944217,0.000005578283964
-0.1191738248,0.9987850498,0.001214950247
-0.1679500937,0.9958374845,0.004162515494
-0.2232605815,0.9903796915,0.009620308524
-0.2484554648,0.9819129721,0.01808702792
-0.2479167581,0.9671717989,0.03282820113
-0.274969101,0.9495154145,0.05048458553
-0.2827262878,0.9285154067,0.07148459334
-0.288613677,0.9024971746,0.0975028254
-0.3184002638,0.8776057559,0.1223942441
-0.3480638862,0.854726982,0.145273018
-0.363432169,0.8346897861,0.1653102139
-0.3692752719,0.8162334757,0.1837665243
-0.3715559244,0.7985090363,0.2014909637
-0.3668977618,0.7801430941,0.2198569059
-0.370195508,0.7638076474,0.2361923526
-0.3679234385,0.7470750268,0.2529249732
-0.3633282781,0.7301348941,0.2698651059
-0.3567567468,0.7124718157,0.2875281843
-0.3525553346,0.6951858294,0.3048141706
-0.349365294,0.6776856369,0.3223143631
-0.3416949511,0.6588890513,0.3411109487
-0.3284339309,0.6380195753,0.3619804247
-0.321387291,0.6173252575,0.3826747425
-0.3124576807,0.5941943452,0.4058056548
-0.2963808775,0.56657403,0.43342597
-0.2829527259,0.5375624907,0.4624375093
-0.276184082,0.508754001,0.491245999
-0.273037374,0.4812106661,0.5187893339
-0.2691386938,0.4542329692,0.5457670308
-0.272331655,0.4315349318,0.5684650682
-0.2614469528,0.4056204558,0.5943795442
-0.244574368,0.3790522049,0.6209477951
-0.233294487,0.3569488126,0.6430511874
-0.2238174081,0.3372820146,0.6627179854
-0.2079375982,0.3189216508,0.6810783492
-0.2016364932,0.3067063245,0.6932936755
-0.1979332566,0.2988163997,0.7011836003
-0.1957082152,0.2933798042,0.7066201958
-0.1960353255,0.2891827033,0.7108172967
-0.1957722306,0.2854988046,0.7145011954
-0.1957079172,0.2823069105,0.7176930895
-0.1964629889,0.2796148306,0.7203851694
-0.1974029541,0.2772306721,0.7227693279
-0.1999214888,0.2753719879,0.7246280121
-0.2000421882,0.2731406743,0.7268593257
-0.2004360557,0.2710711309,0.7289288691
-0.200178206,0.2689089881,0.7310910119
-0.200691402,0.2669733235,0.7330266765
-0.2027019858,0.2652195111,0.7347804889
-0.2029868364,0.2632749213,0.7367250787
-0.2012042999,0.2610692678,0.7389307322
-0.2021043301,0.2594961917,0.7405038083
-0.2033256888,0.2580603414,0.7419396586
-0.2044171095,0.256634532,0.743365468
-0.2038034797,0.2549141893,0.7450858107
-0.203176856,0.2532451667,0.7467548333
-0.2016106248,0.2513942921,0.7486057079
-0.2025719285,0.2500655448,0.7499344552
-0.2043275833,0.2488807173,0.7511192827
-0.2053627372,0.2475910181,0.7524089819
-0.2066512704,0.2463827618,0.7536172382
-0.2083823681,0.2452938807,0.7547061193
-0.2095141411,0.2441023593,0.7558976407
-0.2107703686,0.242926457,0.757073543
-0.2120804787,0.2417773305,0.7582226695
-0.2116820216,0.2402912757,0.7597087243
-0.2102966905,0.2386256001,0.7613743999
-0.2095912099,0.2370926877,0.7629073123
-0.2111507654,0.2360149632,0.7639850368
-0.211689055,0.2347274953,0.7652725047
-0.2129235864,0.2335794844,0.7664205156
-0.2156085968,0.23272266,0.76727734
-0.2165930867,0.2315501047,0.7684498953
-0.2179812789,0.2304757272,0.7695242728
-0.2189433575,0.2293756896,0.7706243104
-0.2210299373,0.2284575041,0.7715424959
-0.2217724919,0.2273206498,0.7726793502
-0.2227583528,0.2262139183,0.7737860817
-0.2227962613,0.2249465321,0.7750534679
-0.2203460932,0.2232373459,0.7767626541
-0.2217010856,0.22221652,0.77778348
-0.2219492793,0.2209248359,0.7790751641
-0.220089674,0.2192165189,0.7807834811
-0.2177053094,0.2174560124,0.7825439876
-0.2186328769,0.2162622597,0.7837377403
-0.2206699848,0.2152615155,0.7847384845
-0.2212879062,0.2140220208,0.7859779792
-0.2188127041,0.2121923437,0.7878076563
-0.2207444906,0.2111592455,0.7888407545
-0.2217252254,0.2099822276,0.7900177724
-0.224901557,0.2091901113,0.7908098887
-0.2281178236,0.2083979949,0.7916020051
-0.2304059863,0.207455265,0.792544735
-0.231523633,0.206317295,0.793682705
-0.2335707545,0.2053622928,0.7946377072
-0.2359551787,0.2044831553,0.7955168447
-0.2378940582,0.2035248061,0.7964751939
-0.2385165691,0.2023477882,0.7976522118
-0.2376901507,0.2009320197,0.7990679803
-0.2382619977,0.1997583487,0.8002416513
-0.2383127809,0.1985155071,0.8014844929
-0.2380803823,0.19723808,0.80276192
-0.2375870347,0.1958814414,0.8041185586
-0.2382742763,0.1947523967,0.8052476033
-0.2393993735,0.193698101,0.806301899
-0.2387224436,0.1923269588,0.8076730412
-0.2376437187,0.1909178843,0.8090821157
-0.2380244732,0.1897375194,0.8102624806
-0.2397251725,0.1887546258,0.8112453742
-0.23829633,0.1872339856,0.8127660144
-0.2361747026,0.1856419433,0.8143580567
-0.2359648347,0.184358938,0.815641062
-0.2380280495,0.1834284803,0.8165715197
-0.2392011285,0.1823329053,0.8176670947
