CS,rho_c = 0.1304438842,T_c = 0.0943287031,,a = 1.0,b = 4.0,R = 1.0,width = 8,200 x 200
Tr,k,A,Spurious Currents (Max),rho_g (Maxwell),rho_g (Actual),rho_l (Maxwell),rho_l (Actual),Error^2
0.25,0.0249,-0.2875,0.007266242523,7.00E-09,7.05E-09,0.589225532,0.5950238705,0.00003362072899
0.3,0.04,-0.2865,0.006235280074,4.31E-07,4.54E-07,0.558729996,0.5636804104,0.00002450660259
0.35,0.055,-0.283,0.004762130789,6.75E-06,6.90E-06,0.530537202,0.5350350142,0.00002023031418
0.4,0.07,-0.28,0.00402008649,4.98E-05,4.96E-05,0.503994922,0.5081962347,0.0000176510285
0.45,0.06,-0.271,1.85E-03,2.06E-04,2.05E-04,0.478631359,0.4833323359,0.00002209918547
0.5,0.078,-0.268,1.69E-03,0.000626568,0.0006366785383,0.454078426,0.4583588839,0.00001832242169
0.55,0.08,-0.27,9.97E-04,0.001631671,0.001642564894,0.427640143,0.4343780875,0.00004540001504
0.6,0.1,-0.25,8.75E-04,0.003081459,0.003094396554,0.40620414,0.4101526439,0.00001559085058
0.65,0.135,-0.257,7.82E-04,0.005586887,0.005843405612,0.38233541,0.3858192861,0.00001220319453
0.7,0.15,-0.22,5.19E-04,0.009294146,0.009234967642,0.358130941,0.3613624573,0.00001044619952
0.75,0.15,-0.2,2.78E-04,0.014526085,0.01459212136,0.333241599,0.3364312053,0.00001017794897
0.8,0.2,-0.17,2.58E-04,0.021723243,0.02176170051,0.307195682,0.3098568022,0.000007083039833
0.85,0.22,-0.12,1.52E-04,0.031581779,0.0317476131,0.279262094,0.2816625535,0.000005789706995
0.9,0.25,-0.09,7.14E-05,0.045421198,0.04627229646,0.248084241,0.250388056,0.000006031932324
0.91,0.27,-0.08,6.43E-05,0.048886017,0.04982662946,0.241236804,0.2434578687,0.00000581788018
0.92,0.28,-0.06,5.17E-05,0.05266678,0.0537031889,0.234101074,0.2362742424,0.0000057968043
0.93,0.3,-0.04,4.23E-05,0.05682194,0.05794900656,0.226618296,0.228716895,0.000005674396722
0.94,0.4,-0.04,4.88E-05,0.061431737,0.06256069243,0.218707932,0.2205714136,0.00000474710417
0.95,0.15,-0.26,8.00E-06,0.066611629,0.07141945511,0.210254225,0.2110314667,0.00002371929661
0.96,0.2,-0.26,7.82E-06,0.072538735,0.07678038627,0.201079761,0.202187717,0.0000192191719
0.97,0.3,-0.26,7.61E-06,0.079511065,0.08293320239,0.190886234,0.1925452054,0.00001446321024
0.98,0.5,-0.26,6.74E-06,0.088109406,0.09081081301,0.179092565,0.1806761026,0.000009805191284
0.99,0.92,-0.27,8.77E-06,0.09983238,0.1022018045,0.164199843,0.1645761877,0.000005755807905
1,0.01,-0.27,0,0.1304438842,0.1304438859,0.1304438842,0.1304438859,0
,,,,,,,RMS Error,0.002677654573
