PR,rho_c = 2.6573041587,"T_c = 0.0729190372
",,a = 2.0 / 49.0,b = 2.0 / 21.0,R = 1.0,width = 8,200 x 200
Tr,k,A,Spurious Currents (Max),rho_g (Maxwell),rho_g (Actual),rho_l (Maxwell),rho_l (Actual),Error^2
0.4,0.04,-0.29,0.004622085486,1.42E-05,1.99E-05,9.608126651,9.650655746,0.001808723993
0.425,0.04,-0.2825,0.003621211275,4.87E-05,4.83E-05,9.519176258,9.566025734,0.002194873397
0.45,0.04,-0.28,2.56E-03,1.42E-04,1.43E-04,9.42498772,9.476394653,0.002642672794
0.5,0.05,-0.276,2.04E-03,0.00083254,0.0008268747479,9.219344179,9.274564743,0.003049310725
0.55,0.056,-0.27,1.45E-03,0.003343938,0.003316262038,8.98755842,9.049184799,0.003797811379
0.6,0.066,-0.264,1.10E-03,0.010227396,0.01021305937,8.724933662,8.791326523,0.004408012174
0.65,0.08,-0.258,8.45E-04,0.025644451,0.02590124682,8.425313934,8.495108604,0.004871361965
0.7,0.088,-0.245,5.26E-04,0.055621249,0.05594600365,8.080450444,8.156269073,0.005748570043
0.75,0.1,-0.23,3.19E-04,0.108622944,0.1097706556,7.678914237,7.758974552,0.006410971305
0.8,0.155,-0.21,2.94E-04,0.197079413,0.1964800358,7.204048716,7.275204182,0.005063459548
0.85,0.17,-0.166,1.27E-04,0.341237545,0.3408307135,6.629589978,6.701951504,0.005236355921
0.9,0.3,-0.13,1.26E-04,0.579972313,0.583120048,5.908234645,5.9653368,0.003270564298
0.91,0.31,-0.12,1.04E-04,0.645553691,0.6515910625,5.738891396,5.795838356,0.00327940611
0.92,0.36,-0.1,1.01E-04,0.7195538,0.7251901627,5.558470504,5.610770226,0.002767029456
0.93,0.42,-0.09,9.57E-05,0.803698417,0.8115240335,5.365126076,5.414040565,0.002453867556
0.94,0.46,-0.06,7.86E-05,0.900351417,0.9093109369,5.15636585,5.202532291,0.00221161331
0.95,0.53,-0.02,6.53E-05,1.012904503,1.022456884,4.928660823,4.970635414,0.00185311429
0.96,0.74,-0.005,6.91E-05,1.146541505,1.157963753,4.676680235,4.712696552,0.001427642854
0.97,0.85,-0.005,4.58E-05,1.309944507,1.328782797,4.391584646,4.42825222,0.001699392159
0.98,0.9,-0.001,2.21E-05,1.519939175,1.548805952,4.056379733,4.095878601,0.002393451398
0.99,1.3,-0.001,9.74E-06,1.819644581,1.855116367,3.627765487,3.661572933,0.002401191045
1,1.3,-0.001,0,2.657304159,2.657302618,2.657304159,2.657302618,0
,,,,,,,RMS Error,0.03959723238
