RK,rho_c = 2.7291710239,T_c = 0.1961334118,,a = 2.0 / 49.0,b = 2.0 / 21.0,R = 1.0,width = 8,200 x 200
Tr,k,A,Spurious Currents (Max),rho_g (Maxwell),rho_g (Actual),rho_l (Maxwell),rho_l (Actual),Error^2
0.38,0.01,-0.2714,0.001922855387,4.68E-05,3.47E-05,9.447453383,9.513572693,0.004371763284
0.4,0.01,-0.2725,0.001279363292,0.000126816,0.0001259264391,9.357524375,9.429133415,0.005127854642
0.45,0.015,-0.271,0.001151390374,0.000934317,0.0009396383539,9.117814784,9.188979149,0.005064366855
0.5,0.019,-0.265,0.0009788698517,0.004129977,0.004101173487,8.855608064,8.93017292,0.005559918614
0.55,0.025,-0.28,0.0008360160864,0.014297723,0.01424387284,8.538696882,8.644163132,0.01112313273
0.6,0.03,-0.25,0.0006697317585,0.031980393,0.03173917532,8.254667401,8.332105637,0.005996738518
0.65,0.04,-0.245,0.0005807657144,0.066918484,0.0674540475,7.909399608,7.984057903,0.005574147884
0.7,0.05,-0.23,0.0004386013316,0.124423783,0.1245266721,7.527999746,7.600543499,0.005262606684
0.75,0.07,-0.22,0.0003696427448,0.212689961,0.2142310143,7.103435636,7.169191837,0.004326252856
0.8,0.085,-0.19,0.0002465882862,0.342849077,0.3439406455,6.625237444,6.68687439,0.003800304591
0.85,0.092,-0.15,0.000136992865,0.532245457,0.5373520851,6.076289258,6.136439323,0.003644108021
0.9,0.137,-0.09,0.000100769139,0.813247948,0.8211897612,5.424103375,5.472264767,0.002382592046
0.91,0.15,-0.07,9.22E-05,0.885763437,0.8941698074,5.275925354,5.321316719,0.002131043085
0.92,0.165,-0.05,8.17E-05,0.965733601,0.9752787948,5.119808419,5.162686825,0.001929668408
0.93,0.2,-0.03,8.28E-05,1.054561379,1.064203143,4.954345159,4.992681026,0.001562602349
0.94,0.22,-0.03,6.71E-05,1.15416755,1.168630242,4.77610037,4.815776348,0.001783352709
0.95,0.24,-0.03,5.20E-05,1.267308731,1.28688395,4.586841405,4.625315189,0.001863421291
0.96,0.3,-0.02,4.65E-05,1.398202417,1.419758916,4.37781648,4.413408279,0.001731458831
0.97,0.4,-0.01,3.87E-05,1.553925439,1.576974988,4.143452899,4.175820351,0.001578933634
0.98,0.4,-0.01,1.58E-05,1.748230771,1.779301524,3.869991929,3.905069828,0.002195850703
0.99,0.5,-0.008,5.98E-06,2.016498722,2.055448771,3.522047278,3.54715848,0.00214767873
1,0.5,-0.008,0,2.729171024,2.729168653,2.729171024,2.729168653,0
,,,,,,,RMS Error,0.04241510143
