RKS,rho_c = 2.7291710239,T_c = 0.0868615099,,a = 2.0 / 49.0,b = 2.0 / 21.0,R = 1.0,width = 8,200 x 200
Tr,k,A,Spurious Currents (Max),rho_g (Maxwell),rho_g (Actual),rho_l (Maxwell),rho_l (Actual),Error^2
0.45,0.022,-0.274,1.42E-03,1.37E-04,1.38E-04,9.349564513,9.41883564,0.004798489029
0.5,0.028,-0.27,1.04E-03,0.00084782,0.0008513426292,9.131925646,9.205018044,0.005342498587
0.55,0.0285,-0.26,6.29E-04,0.003530502,0.003538183635,8.888173502,8.972424507,0.007098231926
0.6,0.045,-0.26,7.72E-04,0.011071952,0.01118213404,8.614039107,8.692205429,0.006109986047
0.65,0.055,-0.25,6.01E-04,0.028237371,0.02815691568,8.303979309,8.384430885,0.006472462605
0.7,0.075,-0.24,5.31E-04,0.0619109,0.06140187755,7.950647565,8.028044701,0.005990575706
0.75,0.086,-0.22,3.25E-04,0.1205403805,0.121604862,7.623209953,7.543969552,0.00628017432
0.8,0.15,-0.22,3.52E-04,0.220888617,0.2230336964,7.069360275,7.13525629,0.004346886216
0.85,0.235,-0.2,3.21E-04,0.381064557,0.3850170374,6.503812827,6.559688568,0.003137720546
0.9,0.4,-0.16,2.93E-04,0.6414861,0.6473528147,5.805436343,5.849172115,0.001947236122
0.91,0.44,-0.14,2.69E-04,0.712002558,0.7170767784,5.643130868,5.684126854,0.001706418576
0.92,0.46,-0.12,2.20E-04,0.791069731,0.7966644764,5.470803236,5.510400772,0.001599266041
0.93,0.48,-0.1,1.74E-04,0.880353149,0.8874664903,5.286753711,5.325268269,0.00153397077
0.94,0.5,-0.08,1.31E-04,0.982125965,0.991846323,5.088673215,5.126524448,0.001527201229
0.95,0.54,-0.04,9.87E-05,1.099640112,1.110233188,4.873272141,4.908772469,0.00137248651
0.96,0.62,-0.014,7.34E-05,1.237854649,1.251704693,4.635551955,4.669229031,0.001325969136
0.97,0.8,-0.01,6.07E-05,1.40506283,1.423352718,4.367178094,4.398961544,0.001344707712
0.98,0.86,-0.002,2.68E-05,1.617325626,1.643334746,4.052046393,4.085905552,0.001822916984
0.99,0.9,-0.001,7.21E-06,1.915808854,1.955277085,3.64894591,3.679994583,0.002521761385
1,0.9,-0.001,0,2.729171024,2.729168653,2.729171024,2.729168653,0
,,,,,,,RMS Error,0.04070594535
