VdW,rho_c = 3.5,T_c = 0.5714285714,,a = 9.0 / 49.0,b = 2.0 / 21.0,R = 1.0,width = 8,200 x 200
Tr,k,A,Spurious Currents (Max),rho_g (Maxwell),rho_g (Actual),rho_l (Maxwell),rho_l (Actual),Error^2
0.25,0.0083,-0.27022,0.002626399044,1.79E-04,0.0001311259548,9.654071475,9.690532684,0.001329422116
0.26,0.077,-0.27,0.001945836935,2.89E-04,0.0002422472317,9.616828154,9.656021118,0.001536090625
0.265,0.0074,-0.271,0.001642362564,3.62E-04,0.0003373190411,9.59808709,9.638743401,0.001652936181
0.27,0.0072,-0.27,0.001442930778,4.49E-04,0.0004409405228,9.579265088,9.621181488,0.001756984651
0.275,0.0075,-0.272,0.001409337041,5.52E-04,0.0005649046507,9.560361128,9.602204323,0.001750853119
0.28,0.0079,-0.2715,0.001432019053,6.74E-04,0.0006769452011,9.541374171,9.582920074,0.001726062104
0.29,0.008,-0.271,0.001281038392,9.83E-04,0.001015737536,9.503147025,9.545837402,0.001822469383
0.3,0.009,-0.27,0.001439768705,1.40E-03,0.001390583231,9.464574999,9.506284714,0.001739700342
0.35,0.009,-0.26,0.0009078054572,5.91E-03,0.005814299453,9.266219465,9.31434536,0.002316110179
0.4,0.01,-0.26,0.0006639818894,0.017188114,1.84E-02,9.057781195,9.109560966,0.002682700607
0.45,0.01,-0.25,4.25E-04,3.93E-02,4.19E-02,8.837838688,8.895310402,0.003309721989
0.5,0.01,-0.24,2.70E-04,0.076113825,0.08147896826,8.604722001,8.66765976,0.00398994621
0.55,0.01,-0.23,1.69E-04,0.131530159,0.1418231279,8.356422485,8.424690247,0.004766432479
0.6,0.01,-0.22,1.04E-04,0.209223388,0.2272416353,8.090447852,8.164046288,0.00574138695
0.65,0.01,-0.2,6.91E-05,0.31316375,0.3381545842,7.80359137,7.881995201,0.006771702525
0.7,0.01,-0.18,4.67E-05,0.480780526,0.4843362272,7.49154892,7.575089455,0.006991663941
0.75,0.02,-0.26,9.81E-05,0.620231522,0.6729863286,7.148238315,7.216682911,0.00746773233
0.8,0.02,-0.24,5.61E-05,0.838834226,0.9008973241,6.7644704,6.837594986,0.009199033216
0.85,0.02,-0.22,2.93E-05,1.119054876,1.19584024,6.324991146,6.404196739,0.01216951805
0.9,0.02,-0.185,1.26E-05,1.490095732,1.591536403,5.800445742,5.87843895,0.0163731501
0.94,0.03,-0.18,7.77E-06,1.898222506,2.003798246,5.273529395,5.319358826,0.01324657367
0.95,0.04,-0.18,8.99E-06,2.026552244,2.115571499,5.116045703,5.167541504,0.01057624525
0.96,0.045,-0.18,8.46E-06,2.171476229,2.268125772,4.942181619,4.966695786,0.009942078614
0.97,0.065,-0.1,7.85E-06,2.339528831,2.413431644,4.74540098,4.778422832,0.006552068576
0.98,0.092,-0.01,9.59E-06,2.543419667,2.610087872,4.512992367,4.527784348,0.004663452186
0.99,0.2,-0.005,7.96E-06,2.815874073,2.862468004,4.212228631,4.227439404,0.002402362028
1,0.05,-0.2,0,3.5,3.500002146,3.5,3.500002146,0
,,,,,,,RMS Error,0.05136586225
